OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
2393,"Drakecaster, Sephiroth",Noble's Village,4.49,Unholy Poison Copper Of The Mountains,234.00,4312.00,57.00,1009008.0000,13338.0000,1068249.33540000,03/22/1947 @ 12:00:00 AM
2403,"Felldrake, Magus",The Dismal Marsh,27.00,Undeads' Mind Orichalcum Of The Twilight,202.00,1169.00,274.00,236138.0000,55348.0000,370187.22000000,03/22/1947 @ 12:00:00 AM
23187,"God of Protection, Finarfin",The Lewd King,45.98,Planar Mudtin Of Trolls,105.00,191.40,174.00,20097.0000,18270.0000,56008.14660000,03/22/1947 @ 12:00:00 AM
25959,"The Grasping, Beamsprocket",The Black Barrow of Bery,23.96,Starsmoke Bronze Of Life,186.00,-438.00,420.81,-81468.0000,78270.6600,-3963.42266400,03/22/1947 @ 12:00:00 AM
11848,"Jester, Seraph",The Nulukkhath Spires,28.99,Sprites' Transcendent Mud Lead Of The South,66.00,3338.65,242.80,220350.9000,16024.8000,304901.01543000,03/22/1947 @ 12:00:00 AM
33190,"Godwarlock, Sunrise",The Archer and Scroll,60.12,Forgotten Mithril,194.00,600.28,545.71,116454.3200,105867.7400,355982.08247200,03/22/1947 @ 12:00:00 AM
34600,"God of Resurrection, Gadriel",Barad Kesa,6.17,Sprites' Transcendent Mud Lead Of The South,231.00,3338.65,267.08,771228.1500,61695.4800,884315.01797100,03/22/1947 @ 12:00:00 AM
20493,"Felldrake, Magus",Eved Castle,30.80,Shadow Metal,116.00,1606.00,298.00,186296.0000,34568.0000,288890.11200000,03/22/1947 @ 12:00:00 AM
18577,"The Grasping, Nettool",Peley Keep,20.92,Meteoric Mirrormuck Orichalcum Of The Forests,273.00,491.62,405.35,134212.2600,110660.5500,296100.20185200,03/22/1947 @ 12:00:00 AM
19815,"Wind, Maverick",The Forsaken Hive of Galima the Mighty,0.39,Fairies' Supreme Mistsmoke Lead Of The Future,186.00,499.73,499.73,92949.7800,92949.7800,186624.56828400,03/22/1947 @ 12:00:00 AM
591,"Runetomb, Song",The Bastion of the Lich Tyrant,4.87,Ghostly Soul Adamant,142.00,411.00,377.00,58362.0000,53534.0000,117345.33520000,03/22/1947 @ 12:00:00 AM
5035,"Darkzealot, Dawn",Shainan's Hold,43.67,Phantasmal Tin Of The Swamps,348.00,3207.64,305.00,1116258.7200,106140.0000,1756220.24102400,03/22/1947 @ 12:00:00 AM
6673,"The Freezer, Burnbrood",The Chuallanto Jungle,10.00,Trolls' Rubymercury Of The Sunset,223.00,2733.00,443.00,609459.0000,98789.0000,779072.80000000,03/22/1947 @ 12:00:00 AM
3455,"Brand, Lightning",The Forsaken Hive of Galima the Mighty,0.39,Timeiron,212.00,3255.00,-14.77,690060.0000,-3131.2400,689607.78216400,03/22/1947 @ 12:00:00 AM
