OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
37837,"The Terrifying, Deathspike",The Greedy Wench,13.31,Ghouls' Imperial Soulzephyr Mithril Of The Seas,328.00,318.23,318.23,104379.4400,104379.4400,236544.68692800,06/21/2019 @ 12:00:00 AM
12797,"Dawn, Tarot",Gili's Delve,35.89,Spirits' Living Wordhammer Tin Of The Trees,247.00,3897.55,128.70,962694.8500,31788.9000,1351403.96787500,06/21/2019 @ 12:00:00 AM
23742,"Reaper, Dagger",The Dungeon of Merciless Woe,3.97,Unicorns' Fatal Magma Metal Of The Ocean,196.00,25.30,23.00,4958.8000,4508.0000,9842.63196000,06/21/2019 @ 12:00:00 AM
11884,"Mistmidnight, Tiger",Castle Village,42.98,Sprites' Transcendent Mud Lead Of The South,112.00,3338.65,242.80,373928.8000,27193.6000,573524.80752000,06/21/2019 @ 12:00:00 AM
19019,"Seeker, Fate",Mahyrst Keep,31.30,Trolls' Mist Poisonplatinum Of The Twilight,299.00,484.62,440.56,144901.3800,131727.4400,363213.64066000,06/21/2019 @ 12:00:00 AM
33483,"Tombreaper, Rouge",Pewold Keep,29.00,Fairies' Supreme Mistsmoke Lead Of The Future,281.00,499.73,549.70,140424.1300,154465.7000,380407.88070000,06/21/2019 @ 12:00:00 AM
22825,"Ivycaster, Fate",The Tomb of Hellish Ruin,36.30,Fleshshock Mercury,313.00,-31.02,-28.20,-9709.2600,-8826.6000,-25264.37718000,06/21/2019 @ 12:00:00 AM
22964,"The Cold, Burnfreeze",Reheath Stronghold,39.60,Planar Mudtin Of Trolls,61.00,191.40,174.00,11675.4000,10614.0000,31116.00240000,06/21/2019 @ 12:00:00 AM
32463,"Goddess of Fate, Azah",Citadel Ward,4.40,Negative Rockglitter Mercury Of Trolls,239.00,235.59,214.17,56306.0100,51186.6300,112222.31616000,06/21/2019 @ 12:00:00 AM
9555,"Ivycaster, Fate",Hartshill Ward,40.29,Timeiron,222.00,3255.00,-16.25,722610.0000,-3607.5000,1008688.60725000,06/21/2019 @ 12:00:00 AM
20698,"The Horrorific, Evilfear",Arcanist's Farthing,29.00,Unknowable Mindsilver,131.00,174.90,174.90,22911.9000,22911.9000,59112.70200000,06/21/2019 @ 12:00:00 AM
8354,"Seeker, Fate",The Bastion of Sthasu the Gruesome,40.00,Falserainbow Lead,189.00,872.99,70.18,164995.1100,13264.0200,249562.78200000,06/21/2019 @ 12:00:00 AM
9773,"Mist, Claw",The Pirate's Pipe,15.40,Muck Orichalcum Of Ogres,143.00,2080.00,97.93,297440.0000,14003.9900,359406.36446000,06/21/2019 @ 12:00:00 AM
18631,"The Horrorific, Evilfear",Barad Cune,49.21,Fairies' Supreme Mistsmoke Lead Of The Future,118.00,499.73,454.30,58968.1400,53607.4000,167973.96323400,06/21/2019 @ 12:00:00 AM
29553,"Lionwatcher, Law",The Citadel of Alammius,32.67,Heavenly Dreamsilver Of The Night,97.00,719.00,314.60,69743.0000,30516.2000,133013.88064000,06/21/2019 @ 12:00:00 AM
27445,"Darkzealot, Dawn",The Bastion of Gothmog of Udun,-2.42,Sprites' Transcendent Mud Lead Of The South,319.00,3338.65,267.08,1065029.3500,85198.5200,1122392.35554600,06/21/2019 @ 12:00:00 AM
6805,"God of Animals, Byzou",The Dismal Marsh,27.00,Trolls' Rubymercury Of The Sunset,392.00,2733.00,443.00,1071336.0000,173656.0000,1581139.84000000,06/21/2019 @ 12:00:00 AM
4712,"Darkzealot, Dawn",The Secret Catacombs of Ulfang the Black,28.82,Incubi's Glittering Tin Of The Future,184.00,4393.29,175.42,808365.3600,32277.2800,1082915.84884800,06/21/2019 @ 12:00:00 AM
36174,"Godseeker, Cult",The Fen of the Necromancer,32.21,Vampires' Hammer Emeraldmetal,204.00,93.70,85.18,19114.8000,17376.7200,48245.43859200,06/21/2019 @ 12:00:00 AM
