OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
24395,"Godseeker, Cult",Bifar's Deep,12.21,Negative Rockglitter Mercury Of Trolls,157.00,235.59,214.17,36987.6300,33624.6900,79234.08427200,04/24/1947 @ 12:00:00 AM
36608,"Brand, Lightning",The Fen of the Necromancer,32.21,Heavenly Dreamsilver Of The Night,321.00,719.00,346.06,230799.0000,111085.2600,452005.18014600,04/24/1947 @ 12:00:00 AM
35398,"Tombreaper, Rouge",Bifar's Deep,12.21,Lycanthropes' Gold,69.00,449.88,408.98,31041.7200,28219.6200,66497.14961400,04/24/1947 @ 12:00:00 AM
2814,"The Freezer, Shiverflame",Cawold Castle,35.00,Succubi's Evil Mindzephyr Adamant Of The Desert,174.00,555.09,42.90,96585.6600,7464.6000,140467.85100000,04/24/1947 @ 12:00:00 AM
1558,"The Living Device, Mecharig",The Archer and Blade,15.00,Mithril Of The Tropics,132.00,1565.76,189.00,206680.3200,24948.0000,266372.56800000,04/24/1947 @ 12:00:00 AM
32171,"The Chiller, Blazefreeze",The Fen of the Necromancer,29.28,Grayplatinum,163.00,2548.00,104.94,415324.0000,17105.2200,559044.49561600,04/24/1977 @ 12:00:00 AM
9366,"Rougehate, Rune",Love Keep,40.56,Meteoric Mirrormuck Orichalcum Of The Forests,115.00,491.62,368.50,56536.3000,42377.5000,139033.23728000,04/24/1947 @ 12:00:00 AM
33757,"Veil, Bane",Reheath Stronghold,39.60,Poison Adamant,315.00,110.96,100.87,34952.4000,31774.0500,93150.12420000,04/24/1947 @ 12:00:00 AM
20595,"Darkzealot, Dawn",Gena's Hold,5.85,Sirens' Rockgold,62.00,336.74,336.74,20877.8800,20877.8800,44198.47196000,04/24/1947 @ 12:00:00 AM
18572,"God of Fate, Sielach",The Tomb of Hellish Ruin,36.30,Unicorns' Fatal Magma Metal Of The Ocean,88.00,25.30,23.00,2226.4000,2024.0000,5793.29520000,04/24/1947 @ 12:00:00 AM
17430,"Goddess of Knowledge, Ahah",The Scoundrel and Flask,45.25,Incubi's Glittering Tin Of The Future,177.00,192.96,212.26,34153.9200,37570.0200,104179.02285000,04/24/1947 @ 12:00:00 AM
28430,"God of Animals, Byzou",Barad Kesa,5.61,Stone Soulsteel Of The Skies,200.00,453.31,412.10,90662.0000,82420.0000,182791.90020000,04/24/1947 @ 12:00:00 AM
16641,"Mist, Claw",The Bastion of the Lich Tyrant,7.14,Vampires' Hammer Emeraldmetal,166.00,77.44,77.44,12855.0400,12855.0400,27545.77971200,04/24/1977 @ 12:00:00 AM
