OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
4968,"The Frigid, Icechill",Shainan's Hold,43.67,Unknowable Mindsilver,338.00,174.90,159.00,59116.2000,53742.0000,162143.37594000,10/01/1947 @ 12:00:00 AM
2469,"The Firey, Evilember",The Tower of Sabiesu the Awesome,10.00,Spirits' Living Wordhammer Tin Of The Trees,123.00,3897.55,117.00,479398.6500,14391.0000,543168.61500000,10/01/1947 @ 12:00:00 AM
2648,"Goddess of Trickery, Alik",The Warrior and Flagon,9.00,Forgotten Mithril,271.00,3909.75,451.00,1059542.2500,122221.0000,1288121.94250000,10/01/1947 @ 12:00:00 AM
12969,"Wolf, Jericho",Gili's Delve,35.89,Djinni's Mind Fogiron,204.00,57.23,52.03,11674.9200,10614.1200,30288.57645600,10/01/1947 @ 12:00:00 AM
11605,"Knightseraph, Lance",The Fortress of the Lich Queen,18.84,Primordial Plague Mercury Of Legend,383.00,1150.79,67.00,440752.5700,25661.0000,554285.88658800,10/01/1987 @ 12:00:00 AM
10569,"Jackalguard, Gale",Arcanist's Farthing,29.00,Phantasmal Smokezephyr Mercury Of Men,304.00,211.20,192.00,64204.8000,58368.0000,158118.91200000,10/01/1947 @ 12:00:00 AM
21347,"God of Fate, Sielach",Reyny Keep,-3.35,Starsmoke Bronze Of Life,274.00,-438.00,420.81,-120012.0000,115301.9400,-4552.27299000,10/01/1947 @ 12:00:00 AM
21541,"The Frigid, Icechill",Grori's Deep,30.25,Witchs' Forbidden Rockrainbow Bronze,101.00,245.63,245.63,24808.6300,24808.6300,64626.48115000,10/01/1947 @ 12:00:00 AM
32394,"Lonedrake, Clash",Citadel Ward,4.40,Yellow Mistearth Copper,99.00,287.98,261.80,28510.0200,25918.2000,56823.06168000,10/01/1977 @ 12:00:00 AM
31054,"Runetomb, Song",The Fortress of Akkun the Grim,27.03,Foulopal Copper Of The Skies,197.00,221.83,221.83,43700.5100,43700.5100,111025.51570600,10/01/1947 @ 12:00:00 AM
21760,"Rougehate, Rune",The Bastion of Gothmog of Udun,-2.42,Yellow Mistearth Copper,258.00,287.98,261.80,74298.8400,67544.4000,138410.63359200,10/01/1947 @ 12:00:00 AM
31126,"Lionwatcher, Law",The Nulukkhath Spires,28.99,Ensorceled Sandmetal Of Spirits,193.00,85.18,77.44,16439.7400,14945.9200,40484.36283400,10/01/1947 @ 12:00:00 AM
7836,"Darkzealot, Dawn",Barad Kesa,5.10,Sapphire Mindlead,174.00,-44.77,-40.70,-7789.9800,-7081.8000,-15630.24078000,10/01/1947 @ 12:00:00 AM
15426,"The Firey, Evilember",The Fortress of Asmamur,-2.66,Starsmoke Bronze Of Life,104.00,-438.00,420.81,-45552.0000,43764.2400,-1740.20558400,10/01/1947 @ 12:00:00 AM
16793,"The Unspeakable, Terrorghoul",The Scoundrel and Flask,45.25,Plague Tin,184.00,465.25,422.95,85606.0000,77822.8000,237380.33200000,10/01/1947 @ 12:00:00 AM
16813,"Drakecaster, Sephiroth",The Scoundrel and Flask,45.25,Incubi's Glittering Tin Of The Future,276.00,192.96,212.26,53256.9600,58583.7600,162448.64580000,10/01/1947 @ 12:00:00 AM
25175,"The Chiller, Blazefreeze",Weke Tower,47.19,Planar Mudtin Of Trolls,201.00,191.40,174.00,38471.4000,34974.0000,108104.28426000,10/01/1947 @ 12:00:00 AM
4732,"God of Fate, Sielach",Pawic Keep,31.90,Violetdream Iron,330.00,2680.00,377.25,884400.0000,124492.5000,1330729.20750000,10/01/1947 @ 12:00:00 AM
