OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
25938,"Runetomb, Song",The Black Barrow of Bery,23.96,Grayplatinum,148.00,2548.00,104.94,377104.0000,15531.1200,486710.49475200,07/03/1946 @ 12:00:00 AM
2694,"Seeker, Fate",The Cracked Chalice,-4.37,Emerald Orichalcum,192.00,1957.00,118.01,375744.0000,22657.9200,380991.75609600,07/03/1946 @ 12:00:00 AM
2699,"Seeker, Fate",Cawold Castle,35.00,Violetdream Iron,184.00,2680.00,377.25,493120.0000,69414.0000,759420.90000000,07/03/1946 @ 12:00:00 AM
22284,"The Skeletal, Spiketerror",The Tower of Sabiesu the Awesome,10.00,Fleshshock Mercury,341.00,-31.02,-28.20,-10577.8200,-9616.2000,-22213.42200000,07/03/1946 @ 12:00:00 AM
20167,"Amberslayer, Flora",The Demon and Toad,-1.10,Emerald Orichalcum,204.00,1957.00,142.79,399228.0000,29129.1600,423645.23124000,07/03/1946 @ 12:00:00 AM
20499,"Goddess of Travel, Lenwenye",Bifar's Deep,11.10,Fairies' Supreme Mistsmoke Lead Of The Future,215.00,499.73,499.73,107441.9500,107441.9500,238736.01290000,07/03/1946 @ 12:00:00 AM
17066,"Bladewitch, Zeal",The Scoundrel and Flask,45.25,Plague Tin,79.00,465.25,422.95,36754.7500,33413.0500,101918.72950000,07/03/1946 @ 12:00:00 AM
6004,"God of Fate, Uriel",Pawic Keep,31.90,Mind Lead,36.00,219.09,199.17,7887.2400,7170.1200,19860.65784000,07/03/1946 @ 12:00:00 AM
17571,"The Chiller, Blazefreeze",Bergfison's Deep,16.00,Starsmoke Bronze Of Life,130.00,-438.00,420.81,-56940.0000,54705.3000,-2592.25200000,07/03/1946 @ 12:00:00 AM
14058,"Goddess of Law, Eumyan",Gili's Delve,35.89,Phantasmal Smokezephyr Mercury Of Men,165.00,211.20,192.00,34848.0000,31680.0000,90404.89920000,07/03/1946 @ 12:00:00 AM
26157,"Goddess of Law, Eumyan",The Black Barrow of Bery,23.96,Sapphire Mindlead,196.00,-44.77,-49.25,-8774.9200,-9653.0000,-22843.24963200,07/03/1946 @ 12:00:00 AM
3493,"Mistmidnight, Tiger",The Forsaken Hive of Galima the Mighty,0.39,Unknown Fatelightning Steel Of The Glacier,153.00,119.90,109.00,18344.7000,16677.0000,35158.28463000,07/03/1946 @ 12:00:00 AM
24162,"Bladewitch, Zeal",The Dungeon of Merciless Woe,3.97,Phantasmal Tin Of The Swamps,303.00,405.96,369.05,123005.8800,111822.1500,244150.70279100,07/03/1946 @ 12:00:00 AM
