OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
1125,"Goddess of Knowledge, Baltha",The Shadow Downs,34.00,Falserainbow Lead,264.00,872.99,58.00,230469.3600,15312.0000,329347.02240000,06/11/1947 @ 12:00:00 AM
21238,"The Freezer, Burnbrood",Moor Village,11.32,Plague Tin,334.00,465.25,422.95,155393.5000,141265.3000,330240.57616000,06/11/1947 @ 12:00:00 AM
18178,"Anchor, Rose",Gili's Delve,35.89,Meteoric Mirrormuck Orichalcum Of The Forests,308.00,491.62,405.35,151418.9600,124847.8000,375418.90016400,06/11/1947 @ 12:00:00 AM
30033,"Gust, Shadow",The Greedy Wench,13.31,White Platinum,204.00,101.02,91.84,20608.0800,18735.3600,44580.05186400,06/11/1947 @ 12:00:00 AM
8645,"Goddess of Travel, Lenwenye",Reheath Stronghold,39.60,Unknowable Mindsilver,222.00,174.90,174.90,38827.8000,38827.8000,108407.21760000,06/11/1947 @ 12:00:00 AM
28123,"The Grasping, Nettool",Barad Kesa,5.61,Negative Rockglitter Mercury Of Trolls,296.00,235.59,214.17,69734.6400,63394.3200,140597.49465600,06/11/1947 @ 12:00:00 AM
18876,"The Evil, Burnchill",Weke Tower,47.19,Grayplatinum,190.00,2548.00,104.94,484120.0000,19938.6000,741923.85334000,06/11/1947 @ 12:00:00 AM
6344,"Dawn, Tarot",Archring Borough,29.70,Golems' Stonesapphire Gold Of The Glacier,153.00,589.00,160.00,90117.0000,24480.0000,148632.30900000,06/11/1977 @ 12:00:00 AM
737,"God of War, Ingwenel",Arcanist's Farthing,29.00,Ghostly Magic Adamant,368.00,901.35,45.00,331696.8000,16560.0000,449251.27200000,06/11/1947 @ 12:00:00 AM
5104,"God of Fate, Sielach",The Dismal Marsh,27.00,Phantasmal Smokezephyr Mercury Of Men,92.00,211.20,192.00,19430.4000,17664.0000,47109.88800000,06/11/1947 @ 12:00:00 AM
5413,"The Unspeakable, Gravebone",The Dancing Minstrel,36.02,Unspeakable Rotsoul Mithril Of Souls,190.00,2076.95,306.00,394620.5000,58140.0000,615844.83210000,06/11/1947 @ 12:00:00 AM
4310,"Knightclaw, Sunset",Pawic Keep,31.90,Spectres' Shadowy Terrorglow Adamant Of Life,371.00,-297.62,175.08,-110417.0200,64954.6800,-59964.82646000,06/11/1947 @ 12:00:00 AM
37144,"Mist, Claw",The Greedy Wench,13.31,Ghouls' Imperial Soulzephyr Mithril Of The Seas,205.00,318.23,318.23,65237.1500,65237.1500,147840.42933000,06/11/1947 @ 12:00:00 AM
13164,"God of the Lost, Lionare",Kada's Deep,8.42,Magicians' Legendary Poison Metal,295.00,-52.81,-48.01,-15578.9500,-14162.9500,-32246.16798000,06/11/1947 @ 12:00:00 AM
15881,Freezebrood,The Tower of Aramum,20.00,Starsmoke Bronze Of Life,246.00,-438.00,420.81,-107748.0000,103519.2600,-5074.48800000,06/11/1947 @ 12:00:00 AM
14749,"Felldrake, Magus",The Fortress of Akkun the Grim,27.03,Primordial Plague Mercury Of Legend,204.00,73.70,67.00,15034.8000,13668.0000,36461.16684000,06/11/1947 @ 12:00:00 AM
26705,"Lord of Plague, Alas",Citadel Ward,4.40,Foulopal Copper Of The Skies,162.00,221.83,201.66,35936.4600,32668.9200,71624.01672000,06/11/1947 @ 12:00:00 AM
26700,"Felldrake, Magus",Reheath Stronghold,39.60,Muck Orichalcum Of Ogres,37.00,143.37,130.34,5304.6900,4822.5800,14137.66892000,06/11/1947 @ 12:00:00 AM
25485,"Darkzealot, Dawn",Gili's Delve,35.89,Incubi's Glittering Tin Of The Future,214.00,192.96,233.49,41293.4400,49966.8600,124013.62167000,06/11/1947 @ 12:00:00 AM
25587,Cinderflame,Gili's Delve,35.89,Negative Rockglitter Mercury Of Trolls,103.00,235.59,214.17,24265.7700,22059.5100,62951.42299200,06/11/1947 @ 12:00:00 AM
