OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
26982,"Lord of Animals, Suriel",Khali's Delve,1.30,Muck Orichalcum Of Ogres,140.00,143.37,130.34,20071.8000,18247.6000,38817.55220000,10/15/2017 @ 12:00:00 AM
25939,"Goddess of Trickery, Alik",Moor Village,11.32,Grayplatinum,245.00,2548.00,104.94,624260.0000,25710.3000,723546.93796000,10/15/2017 @ 12:00:00 AM
24947,"Brand, Lightning",Eved Castle,30.80,Ensorceled Sandmetal Of Spirits,174.00,85.18,77.44,14821.3200,13474.5600,37011.01104000,10/15/2017 @ 12:00:00 AM
9002,"Seeker, Fate",The Lost Sanctum of Woe,43.20,Meteoric Mirrormuck Orichalcum Of The Forests,192.00,491.62,368.50,94391.0400,70752.0000,236484.83328000,10/15/2017 @ 12:00:00 AM
22932,"God of Fate, Sielach",Reheath Stronghold,39.60,Shadowhell Mithril,112.00,462.21,420.19,51767.5200,47061.2800,137965.00480000,10/15/2017 @ 12:00:00 AM
31110,"Knightseraph, Lance",The Tower of Sabiesu the Awesome,10.00,Foulopal Copper Of The Skies,132.00,221.83,221.83,29281.5600,29281.5600,64419.43200000,10/15/2017 @ 12:00:00 AM
8306,"Rougehate, Rune",The Drunken Thief,18.41,Unicorns' Fatal Magma Metal Of The Ocean,208.00,903.00,23.00,187824.0000,4784.0000,228067.13280000,10/15/2017 @ 12:00:00 AM
30766,"Darkzealot, Dawn",The Fortress of Akkun the Grim,27.03,Ensorceled Sandmetal Of Spirits,246.00,85.18,77.44,20954.2800,19050.2400,50817.74175600,10/15/2017 @ 12:00:00 AM
7876,"Darkzealot, Dawn",The Bastion of Sthasu the Gruesome,40.00,Sirens' Rockgold,133.00,306.13,278.30,40715.2900,37013.9000,108820.86600000,10/15/2017 @ 12:00:00 AM
26712,"The Binder, Springpulley",The Chuallanto Jungle,11.00,Muck Orichalcum Of Ogres,92.00,143.37,130.34,13190.0400,11991.2800,27951.26520000,10/15/2017 @ 12:00:00 AM
25436,"Tomblion, Shadow",Gili's Delve,35.89,Mind Lead,236.00,241.00,219.09,56876.0000,51705.2400,147551.04703600,10/15/2017 @ 12:00:00 AM
26888,"Lord of the Sea, Penur",Gili's Delve,35.89,Swordbronze,87.00,403.29,366.63,35086.2300,31896.8100,91023.25305600,10/15/2017 @ 12:00:00 AM
