OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
13839,"Wheelbolt, The Machine",The Lewd King,41.80,Magicians' Legendary Poison Metal,112.00,-52.81,-48.01,-5914.7200,-5377.1200,-16011.82912000,07/18/2007 @ 12:00:00 AM
3835,"Rune, Rougehate",The Khazahol Crags,20.68,Falserainbow Lead,187.00,872.99,70.18,163249.1300,13123.6600,212846.68297200,07/18/2007 @ 12:00:00 AM
22304,"Maverick, Wind",The Tomb of Hellish Ruin,36.30,Violetdream Iron,84.00,502.13,456.48,42178.9200,38344.3200,109753.17612000,07/18/2007 @ 12:00:00 AM
22496,"Eumyan, Goddess of Law",The Nulukkhath Spires,28.99,Fleshshock Mercury,262.00,-31.02,-28.20,-8127.2400,-7388.4000,-20013.62403600,07/18/2007 @ 12:00:00 AM
19170,"Claw, Mist",Mahyrst Keep,31.30,Toxic Mistlead Of The Past,173.00,396.06,396.06,68518.3800,68518.3800,179929.26588000,07/18/2007 @ 12:00:00 AM
31288,"Sephiroth, Drakecaster",The Bastion of Gothmog of Udun,-2.66,Grayplatinum,202.00,2548.00,104.94,514696.0000,21197.8800,521639.10279200,07/18/2007 @ 12:00:00 AM
18292,"Gadriel, God of Resurrection",Gili's Delve,35.89,Venom Jewelmetal Of The Desert,229.00,701.92,222.50,160739.6800,50952.5000,287668.50340200,07/18/2007 @ 12:00:00 AM
18491,"Magus, Felldrake",The Tomb of Hellish Ruin,36.30,Venom Jewelmetal Of The Desert,166.00,701.92,222.50,116518.7200,36935.0000,209157.42036000,07/18/2007 @ 12:00:00 AM
7302,"Boltcrank, The Trapper",Barad Kesa,5.10,Swordbronze,163.00,333.30,303.00,54327.9000,49389.0000,109006.46190000,07/18/2007 @ 12:00:00 AM
27169,"Alik, Goddess of Trickery",The Bastion of Gothmog of Udun,-2.42,Vampires' Hammer Emeraldmetal,96.00,93.70,85.18,8995.2000,8177.2800,16756.90598400,07/18/2007 @ 12:00:00 AM
4139,"Lightning, Brand",The Tomb of Hellish Ruin,33.00,Timeiron,164.00,3255.00,-14.77,533820.0000,-2422.2800,706758.96760000,07/18/2007 @ 12:00:00 AM
26797,"Rouge, Tombreaper",Khali's Delve,1.30,Swordbronze,117.00,403.29,366.63,47184.9300,42895.7100,91251.68832000,07/18/2007 @ 12:00:00 AM
