OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total, Last Revised
25708,"Blazeflare, The Cremator",Weke Tower,47.19,Planar Mudtin Of Trolls,207.00,191.40,174.00,39619.8000,36018.0000,111331.27782000,05/06/2007 @ 12:00:00 AM
13728,"Slayer, Claw",Dysley Stronghold,35.51,Nymphs' Luminous Rotmercury Of The Skies,195.00,335.50,369.05,65422.5000,71964.7500,186173.46247500,05/06/2007 @ 12:00:00 AM
3820,"Dawn, Darkzealot",The Forsaken Hive of Galima the Mighty,0.39,Unknown Fatelightning Steel Of The Glacier,220.00,119.90,109.00,26378.0000,23980.0000,50554.39620000,05/06/2007 @ 12:00:00 AM
1545,"Tarot, Dawn",The Dungeon of Dismal Terror,40.27,Ghostly Magic Adamant,117.00,49.50,45.00,5791.5000,5265.0000,15508.95255000,05/06/2007 @ 12:00:00 AM
12955,"Bedlam, Spiritraven",Bergfison's Deep,16.00,God-touched Greengem Platinum,344.00,206.95,206.95,71190.8000,71190.8000,165162.65600000,05/06/2007 @ 12:00:00 AM
8265,"Ahah, Goddess of Knowledge",Lamp Borough,0.00,Starsmoke Bronze Of Life,286.00,-438.00,420.81,-125268.0000,120351.6600,-4916.34000000,05/06/2007 @ 12:00:00 AM
17079,"Terrorghoul, The Unspeakable",The Scoundrel and Flask,45.25,Golems' Stonesapphire Gold Of The Glacier,72.00,176.00,160.00,12672.0000,11520.0000,35138.88000000,05/06/2007 @ 12:00:00 AM
15321,"Suriel, Lord of Animals",Dysley Stronghold,35.51,Golems' Stonesapphire Gold Of The Glacier,282.00,176.00,160.00,49632.0000,45120.0000,128398.43520000,05/06/2007 @ 12:00:00 AM
27609,"Evilcoil, The Machine",The Pirate's Pipe,16.94,Sprites' Transcendent Mud Lead Of The South,207.00,3338.65,267.08,691100.5500,55285.5600,872823.91703400,05/06/2007 @ 12:00:00 AM
27831,"Sephiroth, Drakecaster",The Pirate's Pipe,16.94,Vampires' Hammer Emeraldmetal,207.00,93.70,85.18,19395.9000,17632.2600,43300.73030400,05/06/2007 @ 12:00:00 AM
24109,"Boltcrank, The Trapper",Bifar's Deep,12.21,Phantasmal Tin Of The Swamps,203.00,405.96,369.05,82409.8800,74917.1500,176536.66036300,05/06/2017 @ 12:00:00 AM
13605,"Boltcrank, The Trapper",Gifeld Castle,30.01,Primordial Plague Mercury Of Legend,256.00,73.70,67.00,18867.2000,17152.0000,46828.56192000,05/06/2017 @ 12:00:00 AM
